id,PRODCOM code,Long name,Figure name,Quantity (kg/yr),Quantity (Mt/yr),Local production share of available quantity (%),Ecoinvent activity name or proxy,Carbon mass share,Ecoinvent 3.11 activity region 1 location,Ecoinvent 3.11 activity region 1 share,Ecoinvent 3.11 activity region 2 location,Ecoinvent 3.11 activity region 2 share,Ecoinvent 3.11 activity region 3 location,Ecoinvent 3.11 activity region 3 share,Ecoinvent 3.12 activity region 1 location,Ecoinvent 3.12 activity region 1 share,Ecoinvent 3.12 activity region 2 location,Ecoinvent 3.12 activity region 2 share,Ecoinvent 3.12 activity region 3 location,Ecoinvent 3.12 activity region 3 share,Ecoinvent 3.12 activity region 4 location,Ecoinvent 3.12 activity region 4 share,Ecoinvent 3.12 activity region 5 location,Ecoinvent 3.12 activity region 5 share,propylene - ecoinvent-3.11-cutoff,ethylene - ecoinvent-3.11-cutoff,methanol - ecoinvent-3.11-cutoff,"xylene, mixed - ecoinvent-3.11-cutoff",o-xylene - ecoinvent-3.11-cutoff,p-xylene - ecoinvent-3.11-cutoff,"toluene, liquid - ecoinvent-3.11-cutoff",benzene - ecoinvent-3.11-cutoff,"Unit GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint of local production share (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff",propylene - ecoinvent-3.12-cutoff,ethylene - ecoinvent-3.12-cutoff,methanol - ecoinvent-3.12-cutoff,"xylene, mixed - ecoinvent-3.12-cutoff",o-xylene - ecoinvent-3.12-cutoff,p-xylene - ecoinvent-3.12-cutoff,"toluene, liquid - ecoinvent-3.12-cutoff",benzene - ecoinvent-3.12-cutoff,"Unit GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Unit GHG footprint of local production share (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff"
0,20165130,"Polypropylene, in primary forms",Polypropylene,11059816493.0,11.05981649,0.864021049,"market for polypropylene, granulate",0.85627718,GLO,1.0,,,,,RER,1.0,,,,,,,,,2.289803764792132,0.08758132433764668,0.466132088617711,0.0,0.0,0.0,0.0,0.0,3.049225589995086,2.634595092905198,1.869698105733507,0.10319828868746382,0.0,0.0,0.0,0.0,0.0,0.0,2.3425626295265376,2.0240234205117176
1,20141130,Ethylene,Ethylene,10337493766.0,10.33749377,0.879048633,market for ethylene,0.856399287,RER,1.0,,,,,RER w/o RU,1.0,,,,,,,,,0.0,1.8209974169803842,0.0,0.0,0.0,0.0,0.0,0.0,1.8209974169803846,1.600745290093138,0.0,1.8930495357568615,0.0,0.0,0.0,0.0,0.0,0.0,1.8930495357568613,1.6640826066083536
2,20141140,Propene (propylene),Propylene,9081741202.0,9.081741202,0.944094186,market for propylene,0.856297529,RER,1.0,,,,,RER w/o RU,1.0,,,,,,,,,1.8209974620277076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.820997462027707,1.7191931166211138,1.8930495811729031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8930495811729033,1.787217103395073
3,20161050,"Polyethylene having a specific gravity of >= 0,94, in primary forms",Polyethylene,7628879471.0,7.628879471,0.783692922,"market for polyethylene, high density, granulate",0.85627718,GLO,1.0,,,,,RER,1.0,,,,,,,,,0.0,2.063423072867073,0.21303156200681278,0.0,0.0,0.0,0.0,0.0,2.830391302116343,2.2181576299589416,0.0,1.8964775543276748,0.0,0.0,0.0,0.0,0.0,0.0,2.3982407558404923,1.879484305604124
4,20142210,Methanol (methyl alcohol),Methanol,6904732058.0,6.904732058,0.141931648,market for methanol,0.374851757,RER,0.35,US,0.23,RoW,0.42,RER w/o RU,0.18,TT,0.21,US,0.23,RU,0.16,RoW,0.22,0.0,0.0,0.8725298121456513,0.0,0.0,0.0,0.0,0.0,0.9206227087243253,0.12771241670399858,0.0,0.0,0.7734093716270001,0.0,0.0,0.0,0.0,0.0,0.8069346232451635,0.100360321720724
5,20141223,Benzene,Benzene,6234476067.0,6.234476067,0.882870815,market for benzene,0.922621943,RER,1.0,,,,,RER,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0331243108649604,2.064759352532244,1.8229157723490144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.085058041850025,2.116875647011252,1.8689277277304763
6,20163010,"Polyvinyl chloride, not mixed with any other substances, in primary forms",Polyvinyl chloride,5008047468.0,5.008047468,0.892721884,"market for polyvinyl chloride, emulsion polymerised",0.384352,RER,1.0,,,,,RER,1.0,,,,,,,,,0.0,0.766177908882526,0.0,0.0,0.0,0.0,0.0,0.0,2.3849309447053484,2.1290800461672585,0.0,0.7964935706072195,0.0,0.0,0.0,0.0,0.0,0.0,2.4546185720544287,2.191291716145819
7,20161039,"Polyethylene having a specific gravity < 0,94, in primary forms (excluding linear)",Polyethylene,4474213876.0,4.474213876,0.796106788,"market for polyethylene, low density, granulate",0.85627718,GLO,1.0,,,,,RER,1.0,,,,,,,,,0.0,2.0523898664898064,0.21189247365435615,0.0,0.0,0.0,0.0,0.0,2.9663245718670384,2.361511127074543,0.0,1.8863370123698229,0.0,0.0,0.0,0.0,0.0,0.0,2.4088076878045683,1.9176681512478018
8,20161035,"Linear polyethylene having a specific gravity < 0,94, in primary forms",Polyethylene,4238710053.0,4.238710053,0.822537507,"market for polyethylene, linear low density, granulate",0.85627718,GLO,1.0,,,,,GLO,1.0,,,,,,,,,0.0,1.9281859730392465,0.19906943712974468,0.0,0.0,0.0,0.0,0.0,2.770477006269002,2.278821249937328,0.0,1.7097688306163732,0.16246652097009057,0.0,0.0,0.0,0.0,0.0,2.5615379350931278,2.106961027217429
9,20141250,Styrene,Styrene,3627976392.0,3.627976392,0.826907255,market for styrene,0.922592415,RER,1.0,,,,,RER,1.0,,,,,,,,,0.0,0.5117002741714878,0.0,0.0,0.0,0.0,0.0,1.608447535622619,3.220284263371904,2.662876420544558,0.17745120120555669,0.32173778695361716,0.0,0.0,0.0,0.0,0.0,1.2919206165870931,3.3572885950941855,2.776166296412139
10,20143430,Phthalic anhydride; terephthalic acid and its salts,Terephthalic acid,3491283735.0,3.491283735,0.801997263,market for purified terephthalic acid,0.578390417,GLO,1.0,,,,,GLO,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.6028377513517584,0.0,0.0,2.5228001947207357,2.023278851261897,0.0,0.0,0.0,0.0,0.0,1.5862268127062071,0.0,0.0,2.5077724736246974,2.011226660073747
11,20164062,Polyethylene terephthalate in primary forms having a viscosity number of >= 78 ml/g,Polyethylene terephthalate,3349184970.0,3.34918497,0.656876231,"market for polyethylene terephthalate, granulate, amorphous",0.648542117,GLO,1.0,,,,,GLO,1.0,,,,,,,,,0.0,0.3804677936268156,0.0,0.0,0.0,1.3962520006744088,0.0,0.0,3.7524038529688255,2.4648649001280405,0.0,0.21620964009079557,0.0,0.0,0.0,1.3817820043835358,0.0,0.0,3.7004455685125945,2.4307347380652056
12,20141160,"Buta-1,3-diene and isoprene",Butadiene,2808940257.0,2.808940257,0.996817214,market for butadiene,0.888223331,RER,1.0,,,,,RER w/o RU,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.668062195900209,2.6595703248959683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7221810111665787,2.713516891554772
